model_id,task_id,base_model,dataset_id
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1572,1572,,Lots-of-LoRAs/task1572_samsum_summary
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task699,699,,Lots-of-LoRAs/task699_mmmlu_answer_generation_high_school_biology
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1631,1631,,Lots-of-LoRAs/task1631_openpi_answer_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1722,1722,,Lots-of-LoRAs/task1722_civil_comments_threat_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task580,580,,Lots-of-LoRAs/task580_socialiqa_answer_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task605,605,,Lots-of-LoRAs/task605_find_the_longest_common_subsequence_in_two_lists
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1152,1152,,Lots-of-LoRAs/task1152_bard_analogical_reasoning_causation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1283,1283,,Lots-of-LoRAs/task1283_hrngo_quality_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task637,637,,Lots-of-LoRAs/task637_extract_and_sort_unique_digits_in_a_list
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task723,723,,Lots-of-LoRAs/task723_mmmlu_answer_generation_moral_disputes
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task084,084,,Lots-of-LoRAs/task084_babi_t1_single_supporting_fact_identify_relevant_fact
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task201,201,,Lots-of-LoRAs/task201_mnli_neutral_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task956,956,,Lots-of-LoRAs/task956_leetcode_420_strong_password_check
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task167,167,,Lots-of-LoRAs/task167_strategyqa_question_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1192,1192,,Lots-of-LoRAs/task1192_food_flavor_profile
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task300,300,,Lots-of-LoRAs/task300_storycloze_order_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1714,1714,,Lots-of-LoRAs/task1714_convai3_sentence_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task388,388,,Lots-of-LoRAs/task388_torque_token_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task516,516,,Lots-of-LoRAs/task516_senteval_conjoints_inversion
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task127,127,,Lots-of-LoRAs/task127_scan_long_text_generation_action_command_all
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task362,362,,Lots-of-LoRAs/task362_spolin_yesand_prompt_response_sub_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1158,1158,,Lots-of-LoRAs/task1158_bard_analogical_reasoning_manipulating_items
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task322,322,,Lots-of-LoRAs/task322_jigsaw_classification_threat
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task697,697,,Lots-of-LoRAs/task697_mmmlu_answer_generation_formal_logic
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1566,1566,,Lots-of-LoRAs/task1566_propara_structured_text_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task076,076,,Lots-of-LoRAs/task076_splash_correcting_sql_mistake
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1451,1451,,Lots-of-LoRAs/task1451_drug_dose_extraction
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1135,1135,,Lots-of-LoRAs/task1135_xcsr_en_commonsense_mc_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task341,341,,Lots-of-LoRAs/task341_winomt_classification_gender_anti
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task267,267,,Lots-of-LoRAs/task267_concatenate_and_reverse_all_elements_from_index_i_to_j
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1720,1720,,Lots-of-LoRAs/task1720_civil_comments_toxicity_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1452,1452,,Lots-of-LoRAs/task1452_location_entity_extraction_btc_corpus
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task131,131,,Lots-of-LoRAs/task131_scan_long_text_generation_action_command_long
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task685,685,,Lots-of-LoRAs/task685_mmmlu_answer_generation_clinical_knowledge
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task727,727,,Lots-of-LoRAs/task727_mmmlu_answer_generation_prehistory
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1590,1590,,Lots-of-LoRAs/task1590_diplomacy_text_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1731,1731,,Lots-of-LoRAs/task1731_quartz_question_answering
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task047,047,,Lots-of-LoRAs/task047_miscellaneous_answering_science_questions
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task929,929,,Lots-of-LoRAs/task929_products_reviews_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1592,1592,,Lots-of-LoRAs/task1592_yahoo_answers_topics_classfication
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1326,1326,,Lots-of-LoRAs/task1326_qa_zre_question_generation_from_answer
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task615,615,,Lots-of-LoRAs/task615_moviesqa_answer_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1216,1216,,Lots-of-LoRAs/task1216_atomic_classification_causes
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task689,689,,Lots-of-LoRAs/task689_mmmlu_answer_generation_college_mathematics
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1156,1156,,Lots-of-LoRAs/task1156_bard_analogical_reasoning_tools
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1657,1657,,Lots-of-LoRAs/task1657_gooaq_question_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task833,833,,Lots-of-LoRAs/task833_poem_sentiment_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1206,1206,,Lots-of-LoRAs/task1206_atomic_classification_isbefore
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1151,1151,,Lots-of-LoRAs/task1151_swap_max_min
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task244,244,,Lots-of-LoRAs/task244_count_elements_in_set_union
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1562,1562,,Lots-of-LoRAs/task1562_zest_text_modification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task043,043,,Lots-of-LoRAs/task043_essential_terms_answering_incomplete_questions
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task044,044,,Lots-of-LoRAs/task044_essential_terms_identifying_essential_words
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task722,722,,Lots-of-LoRAs/task722_mmmlu_answer_generation_random_topic
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task183,183,,Lots-of-LoRAs/task183_rhyme_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task563,563,,Lots-of-LoRAs/task563_discofuse_answer_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task155,155,,Lots-of-LoRAs/task155_count_nouns_verbs
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task353,353,,Lots-of-LoRAs/task353_casino_classification_negotiation_elicit_pref
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task616,616,,Lots-of-LoRAs/task616_cola_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1724,1724,,Lots-of-LoRAs/task1724_civil_comments_insult_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task288,288,,Lots-of-LoRAs/task288_gigaword_summarization
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task092,092,,Lots-of-LoRAs/task092_check_prime_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task707,707,,Lots-of-LoRAs/task707_mmmlu_answer_generation_high_school_microeconomics
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task577,577,,Lots-of-LoRAs/task577_curiosity_dialogs_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task742,742,,Lots-of-LoRAs/task742_lhoestq_answer_generation_frequency
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task706,706,,Lots-of-LoRAs/task706_mmmlu_answer_generation_high_school_mathematics
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1401,1401,,Lots-of-LoRAs/task1401_obqa_sentence_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1393,1393,,Lots-of-LoRAs/task1393_superglue_copa_text_completion
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1198,1198,,Lots-of-LoRAs/task1198_atomic_classification_owant
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task966,966,,Lots-of-LoRAs/task966_ruletaker_fact_checking_based_on_given_context
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task219,219,,Lots-of-LoRAs/task219_rocstories_title_answer_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1211,1211,,Lots-of-LoRAs/task1211_atomic_classification_hassubevent
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task050,050,,Lots-of-LoRAs/task050_multirc_answerability
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task494,494,,Lots-of-LoRAs/task494_review_polarity_answer_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1379,1379,,Lots-of-LoRAs/task1379_quarel_incorrect_answer_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task176,176,,Lots-of-LoRAs/task176_break_decompose_questions
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task068,068,,Lots-of-LoRAs/task068_abductivenli_incorrect_answer_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task566,566,,Lots-of-LoRAs/task566_circa_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task333,333,,Lots-of-LoRAs/task333_hateeval_classification_hate_en
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task593,593,,Lots-of-LoRAs/task593_sciq_explanation_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task667,667,,Lots-of-LoRAs/task667_mmmlu_answer_generation_business_ethics
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1670,1670,,Lots-of-LoRAs/task1670_md_gender_bias_text_modification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task733,733,,Lots-of-LoRAs/task733_mmmlu_answer_generation_security_studies
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task472,472,,Lots-of-LoRAs/task472_haspart_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1168,1168,,Lots-of-LoRAs/task1168_brown_coarse_pos_tagging
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task075,075,,Lots-of-LoRAs/task075_squad1.1_answer_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task148,148,,Lots-of-LoRAs/task148_afs_argument_quality_gay_marriage
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task683,683,,Lots-of-LoRAs/task683_online_privacy_policy_text_purpose_answer_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1315,1315,,Lots-of-LoRAs/task1315_find_range_array
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task121,121,,Lots-of-LoRAs/task121_zest_text_modification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task370,370,,Lots-of-LoRAs/task370_synthetic_remove_divisible_by_3
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task856,856,,Lots-of-LoRAs/task856_conv_ai_2_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task891,891,,Lots-of-LoRAs/task891_gap_coreference_resolution
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task140,140,,Lots-of-LoRAs/task140_detoxifying-lms_classification_style
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task609,609,,Lots-of-LoRAs/task609_sbic_potentially_offense_binary_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task344,344,,Lots-of-LoRAs/task344_hybridqa_answer_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1703,1703,,Lots-of-LoRAs/task1703_ljspeech_textmodification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task070,070,,Lots-of-LoRAs/task070_abductivenli_incorrect_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task072,072,,Lots-of-LoRAs/task072_abductivenli_answer_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task504,504,,Lots-of-LoRAs/task504_count_all_alphabetical_elements_in_list
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task695,695,,Lots-of-LoRAs/task695_mmmlu_answer_generation_electrical_engineering
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1434,1434,,Lots-of-LoRAs/task1434_head_qa_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task095,095,,Lots-of-LoRAs/task095_conala_max_absolute_value
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task346,346,,Lots-of-LoRAs/task346_hybridqa_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task274,274,,Lots-of-LoRAs/task274_overruling_legal_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1325,1325,,Lots-of-LoRAs/task1325_qa_zre_question_generation_on_subject_relation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1190,1190,,Lots-of-LoRAs/task1190_add_integer_to_list
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task568,568,,Lots-of-LoRAs/task568_circa_question_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1482,1482,,Lots-of-LoRAs/task1482_gene_extraction_chemprot_dataset
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task924,924,,Lots-of-LoRAs/task924_event2mind_word_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task761,761,,Lots-of-LoRAs/task761_app_review_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task596,596,,Lots-of-LoRAs/task596_mocha_question_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task382,382,,Lots-of-LoRAs/task382_hybridqa_answer_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task926,926,,Lots-of-LoRAs/task926_coached_conv_pref_word_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task065,065,,Lots-of-LoRAs/task065_timetravel_consistent_sentence_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1421,1421,,Lots-of-LoRAs/task1421_mathqa_other
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task323,323,,Lots-of-LoRAs/task323_jigsaw_classification_sexually_explicit
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1310,1310,,Lots-of-LoRAs/task1310_amazonreview_rating_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task110,110,,Lots-of-LoRAs/task110_logic2text_sentence_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1288,1288,,Lots-of-LoRAs/task1288_glue_mrpc_paraphrasing
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1503,1503,,Lots-of-LoRAs/task1503_hatexplain_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task269,269,,Lots-of-LoRAs/task269_csrg_counterfactual_story_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task821,821,,Lots-of-LoRAs/task821_protoqa_question_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task565,565,,Lots-of-LoRAs/task565_circa_answer_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task867,867,,Lots-of-LoRAs/task867_mawps_multiop_question_answering
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task755,755,,Lots-of-LoRAs/task755_find_longest_substring_and_replace_its_sorted_lowercase_version_in_both_lists
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task378,378,,Lots-of-LoRAs/task378_reverse_words_of_given_length
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task518,518,,Lots-of-LoRAs/task518_emo_different_dialogue_emotions
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task195,195,,Lots-of-LoRAs/task195_sentiment140_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task618,618,,Lots-of-LoRAs/task618_amazonreview_summary_text_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task638,638,,Lots-of-LoRAs/task638_multi_woz_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1217,1217,,Lots-of-LoRAs/task1217_atomic_answer_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task118,118,,Lots-of-LoRAs/task118_semeval_2019_task10_open_vocabulary_mathematical_answer_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1564,1564,,Lots-of-LoRAs/task1564_triviaqa_answer_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1429,1429,,Lots-of-LoRAs/task1429_evalution_semantic_relation_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task687,687,,Lots-of-LoRAs/task687_mmmlu_answer_generation_college_chemistry
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task640,640,,Lots-of-LoRAs/task640_esnli_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1328,1328,,Lots-of-LoRAs/task1328_qa_zre_relation_generation_from_question
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1311,1311,,Lots-of-LoRAs/task1311_amazonreview_rating_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task285,285,,Lots-of-LoRAs/task285_imdb_answer_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1341,1341,,Lots-of-LoRAs/task1341_msr_text_classification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1603,1603,,Lots-of-LoRAs/task1603_smcalflow_sentence_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task162,162,,Lots-of-LoRAs/task162_count_words_starting_with_letter
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task063,063,,Lots-of-LoRAs/task063_first_i_elements
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task686,686,,Lots-of-LoRAs/task686_mmmlu_answer_generation_college_biology
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1483,1483,,Lots-of-LoRAs/task1483_chemical_extraction_chemprot_dataset
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task146,146,,Lots-of-LoRAs/task146_afs_argument_similarity_gun_control
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1729,1729,,Lots-of-LoRAs/task1729_personachat_generate_next
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task852,852,,Lots-of-LoRAs/task852_synthetic_multiply_odds
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1622,1622,,Lots-of-LoRAs/task1622_disfl_qa_text_modication
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1704,1704,,Lots-of-LoRAs/task1704_ljspeech_textmodification
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task145,145,,Lots-of-LoRAs/task145_afs_argument_similarity_death_penalty
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task648,648,,Lots-of-LoRAs/task648_answer_generation
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task151,151,,Lots-of-LoRAs/task151_tomqa_find_location_easy_clean
Lots-of-LoRAs/Mistral-7B-Instruct-v0.2-4b-r16-task1212,1212,,Lots-of-LoRAs/task1212_atomic_classification_hasproperty
